ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BOL,"Bolivia, Plurinational State of",41.32384864,41.48461911,41.75596614,41.98279339,41.73477791,41.37037801,41.44875161,41.07644664,41.03959832,41.45292454,39.96180206,39.78957597,40.02490388,40.15834145,40.43483548,40.84508424,41.0495201,40.76216648,41.18190725,41.01504792,40.81971341,41.29917224,41.93803257,42.03265881,41.76510497,41.86899133,41.69534554,41.64560831
BIH,Bosnia and Herzegovina,46.98239231,47.15099333,47.19615307,47.01639786,47.17190356,47.30742322,48.09450571,48.3255175,48.47830656,49.27520523,48.63362188,47.65390278,47.90472729,48.4877868,48.4627051,48.58599045,49.15962921,49.68492282,50.48604918,51.47045197,50.64619113,51.00713514,51.27054289,51.37180634,50.87084123,50.69825797,50.87036207,50.97545843
BWA,Botswana,43.72789013,43.7846497,44.04368882,44.35918985,44.62117948,44.79930578,44.84655863,44.75918462,45.77769245,45.34516824,46.05805885,45.45318485,45.50189734,45.86048619,46.22552374,46.43107607,46.59868282,47.27432866,47.32958547,48.60127979,48.56048048,49.64576174,49.17612304,50.08356525,50.05623443,49.9754319,50.13995109,50.00615935
BRA,Brazil,47.18948421,47.15257635,47.30158682,47.42392579,47.77898454,48.16115605,48.45553167,48.86028206,48.8745512,48.73200322,49.29077057,50.91925737,51.15261663,51.63618849,52.48871931,53.3610482,53.52204925,53.47230443,53.51469963,49.30841489,49.08117932,49.34073081,49.10702945,49.05383743,49.25258824,49.51645663,49.3996816,49.52378151
BRN,Brunei Darussalam,50.50695835,50.59901922,50.22585459,49.78949517,50.01566597,50.20817056,50.50741633,50.90518474,51.14062303,51.74719831,52.422945,55.63746013,51.83324151,51.96185294,53.24311433,53.61470331,53.60020936,53.70867509,53.87643909,54.75686744,54.48760038,54.62088772,54.62030586,55.83647943,55.40321342,56.25591771,56.35959064,56.53529771
BGR,Bulgaria,50.72198219,51.15753223,52.34655359,52.45541627,52.36307218,51.73126689,51.94018677,52.64602742,53.1215771,53.41470469,53.65507773,53.54906986,53.68707896,53.6796352,54.00382065,53.9682131,54.36010268,54.79252673,54.99451398,55.56737929,55.53502224,55.37583075,55.22661489,56.32876053,56.40939859,56.0675011,56.19473417,54.98756749
BFA,Burkina Faso,35.90313344,35.84130372,36.03111137,35.99240996,36.07436221,36.39855709,36.51109614,36.36160138,36.36841239,36.82590259,36.08569487,34.27036241,34.93952383,35.25718449,36.15029002,36.02977592,36.09018595,36.16241659,36.11837828,36.61696678,36.60061252,37.97234738,38.69109824,38.80041262,38.51279891,38.13562693,38.15762697,37.98945869
BDI,Burundi,34.64817133,34.75888166,34.70324266,34.68981934,35.23866739,35.22682802,34.15545085,34.61331373,34.39483222,34.19502665,34.40279534,32.85528283,33.1155639,33.16711663,33.02806478,31.98053795,31.41075976,31.25962989,33.33209266,35.80351075,34.93020402,35.29144257,35.32793437,35.33292397,35.36849412,35.24696456,35.61029409,35.89958859
KHM,Cambodia,37.74177395,37.75204958,37.72113757,37.70275332,37.77404972,38.10952128,37.87123523,38.10057331,38.18532636,38.06735542,37.91041895,37.38675485,36.95326964,37.99996462,37.90206467,37.94424355,38.47692016,38.85571551,38.80813128,39.1515342,39.17110048,39.76781472,40.31494591,40.2517976,40.28926104,40.17665041,40.05859632,40.32958349
CMR,Cameroon,38.03820972,38.15807353,38.422084,38.73846527,38.75928484,38.80737911,38.95239891,38.81966021,39.53052493,39.71490444,39.04249813,37.95483627,37.83285952,37.67558468,37.5890786,37.51396988,37.62004824,38.15621872,38.28954461,38.3327925,38.301469,38.85952173,38.82131332,38.68197401,38.66771793,38.77070409,38.51551948,38.67116903
CAN,Canada,65.26909623,65.3443795,65.4885537,65.33754922,65.73549408,66.04038915,66.06847301,66.09241917,66.06193829,66.84343991,67.50925427,69.76329434,69.80726186,70.04361538,70.1234895,69.13936798,69.53031437,69.47940365,69.61471145,70.26427838,69.86806119,69.33202818,69.10255553,68.5795517,68.56279625,68.22984114,68.4720205,68.45844735
CPV,Cape Verde,47.73596987,47.75828868,47.7112354,47.68159022,48.0170516,48.14012819,47.41913008,46.87769872,47.29972273,47.26457391,48.54070251,46.91463879,47.49789079,47.77300035,48.19082287,48.13093905,49.17630494,48.89554313,48.831162,49.9866613,50.8907628,50.74822893,50.60062024,50.52005831,50.72682064,51.00790664,51.10957707,51.07369998
CAF,Central African Republic,34.27432445,34.36929011,34.14738595,34.14440932,34.05069001,33.76217072,34.13288155,33.85627513,33.55788305,33.22980473,32.02215406,29.74048235,29.02344515,29.0467414,28.22848746,27.88625485,27.44366066,28.08003784,26.84912214,26.5451568,26.95336905,28.00961661,27.66443902,27.56008347,27.8358001,27.58166609,27.72604139,27.8948032
TCD,Chad,29.95351354,29.95504495,29.88561497,29.8849039,30.02784342,30.17621875,30.09651123,30.07961986,28.77741675,29.32077103,28.39124659,26.06854475,26.29998517,25.94597557,26.17908401,25.82963488,25.59661591,26.05508232,26.27894368,26.14431189,26.024824,26.33624475,26.67475245,26.72787506,26.85957762,27.23661877,27.0480699,27.15530682
CHL,Chile,54.09062906,54.10714635,53.76448955,53.43099075,53.92744392,54.58022274,54.9746964,55.47685703,54.98225782,55.35555056,56.15096339,56.99590159,57.53956752,57.82760685,57.69736958,58.33587481,58.74366015,59.78511774,60.15435263,61.41369775,61.08030825,60.21519958,60.16422756,60.50748675,60.09253785,60.03368462,60.20828972,60.12239904
CHN,China,49.2775058,49.47014006,49.44583705,49.38228975,49.50585514,49.73603785,49.56775251,49.48901943,49.24163511,49.56161077,51.03116724,55.08712967,55.94974,57.05935046,57.82978221,59.82100623,60.1896511,60.45937564,60.86337198,53.72792666,54.41832989,54.53079147,55.10629557,55.42724523,58.77925522,59.66834574,59.99986823,60.18258226
COL,Colombia,42.34171636,42.35014306,42.41198839,42.48119034,42.49133751,42.70992028,42.99682829,43.12469004,43.07106807,43.49411409,44.19846188,43.20060871,43.56260486,44.36931102,45.19865443,45.96814179,46.80694859,46.87847766,46.98065437,48.13621051,48.16755168,48.03704366,48.03185073,47.93488665,48.37615898,48.50104707,48.41689849,48.69046956
COM,Comoros,38.05928388,38.20172013,38.17283617,38.28513835,38.62693355,37.65756998,38.27909721,38.94998062,37.79449415,37.60170024,38.83918453,37.16479329,37.11839623,36.27768213,36.50395427,36.66749574,36.3618594,36.42072349,37.30721575,37.80612945,38.19957497,38.530274,38.36090231,37.9381232,37.26087962,37.3243272,36.81212231,36.85980008
COG,Congo,35.67173883,35.73261511,35.23467315,34.77412107,35.31522457,35.92454933,35.95625892,35.65099715,35.85801824,35.6441396,34.78220615,33.79108972,34.00061407,34.5251378,34.54366289,34.45013476,33.8993804,33.17154626,33.75909188,34.47578062,34.36710953,36.50858357,35.70282717,35.91338259,35.63118203,35.17170389,35.6798531,35.87536579
COD,"Congo, the Democratic Republic o",33.33298333,33.25008893,33.16618666,33.09529767,33.03092566,32.99485753,33.44691615,33.4957999,33.37435035,33.52981721,32.47863531,29.4590983,29.33529268,29.03734264,29.07593439,27.90220073,28.8654641,28.90954925,29.02356938,28.95141684,29.71945757,31.95544741,31.88354876,32.41031338,32.35466532,32.39938038,32.38909727,32.51280111
CRI,Costa Rica,47.55209129,47.68708334,48.40500606,48.90796206,48.80804748,48.80847879,48.46789574,48.62213321,48.72438981,48.7732076,49.25050051,48.1813228,48.25867124,48.8741287,49.29069107,50.9004534,50.67700786,51.42886995,52.12341731,53.30764353,53.62620237,53.29454138,53.09686273,53.24637609,53.39126938,53.51956695,53.34077525,53.6617055
CIV,Cote d'Ivoire,40.34535629,40.41603742,40.1477405,39.77120667,38.84829242,38.06461229,37.82326091,37.61044314,37.33587644,36.66057166,36.00152921,33.99803469,34.71548325,34.62672049,34.97054207,34.32475123,34.19625788,34.93485255,36.12099369,37.8428055,38.82918014,39.81277365,39.89966309,40.43713725,40.80701967,40.93639804,41.22280583,41.64955739
HRV,Croatia,50.28102076,50.29342237,50.50941037,50.75256348,51.37621185,52.24568505,53.06791019,53.47358973,54.2936293,54.72220833,54.14646996,53.27669946,53.78945915,53.76374492,53.5874508,54.29558541,54.31168016,54.42391238,54.83035827,55.1557356,55.32783722,55.66432914,55.37719524,55.52438343,55.73844297,55.40139412,55.32560825,55.44494676
CUB,Cuba,41.35931464,41.26242447,41.05180762,40.92012775,41.64971204,42.12116063,42.23362127,42.26742305,42.04394963,43.21030406,44.12598153,45.99043368,47.12948747,47.67022842,47.22894774,46.10617085,45.29996405,44.48026719,43.6107943,43.75654696,43.90445083,44.34130339,45.13250348,45.11396578,45.32337084,45.36402113,45.45270028,45.60854599
CYP,Cyprus,54.26151435,54.2603974,53.97167986,54.09790564,54.36291313,54.5224025,54.77913318,55.20108244,55.74147139,55.43301968,56.68516449,60.58240679,60.65869247,61.617542,57.03993028,56.98519774,56.66102684,56.99797284,57.09474214,57.92559728,57.97732556,57.58682037,58.24021964,57.95543188,58.25436371,57.95730953,58.09399827,58.06319498
CZE,Czech Republic,59.78168618,59.79038046,59.59845704,59.55206796,59.09375871,58.78369998,59.61737964,60.40268275,60.80781282,60.53725733,60.90269614,61.35831073,61.89232029,62.30549086,62.24308284,63.05855754,63.47481865,63.65941436,64.38212476,65.17560753,65.29616446,64.89278577,65.26971308,65.06493986,64.93324585,64.59338239,64.66617956,64.65130804
DNK,Denmark,65.38840924,65.62886181,65.82326871,66.14237409,66.5373928,66.82737116,67.02360821,67.39225585,67.52913905,67.83303291,68.11027617,71.12377735,71.45185566,71.35102862,71.14486997,71.62076605,72.15928067,72.3759649,72.48560832,72.73106377,72.73600244,71.57154522,71.60915722,71.35401469,70.9890672,71.24599279,71.19186091,71.09530472
DJI,Djibouti,40.34527669,40.34451109,40.27316503,40.22053467,40.62786466,41.03101783,41.14804409,40.33094862,39.57507348,40.92336039,40.66569045,38.56004651,39.06331487,40.40926995,40.82163143,40.2128335,40.19237784,39.58044967,39.7167949,40.10479924,39.78547376,39.7072759,40.83959273,41.81879924,42.03147049,41.76376993,41.14789395,41.12275667
DMA,Dominica,55.73286875,55.58515792,55.748426,55.84965198,55.68909307,55.55485371,56.04930305,55.45046946,56.01540856,56.06754364,57.91257718,54.9695881,54.83478421,54.93206503,54.68801927,54.68360421,54.54277847,54.16023796,54.84514836,55.14305874,55.23054462,54.78137648,54.93396092,54.83004191,54.21737434,53.4586432,52.99974591,52.97784315
DOM,Dominican Republic,43.67193845,43.70766666,43.47167463,43.3000035,43.62235104,43.79284801,44.09458065,43.91839992,43.20787517,43.78437369,43.5995345,43.94199474,44.50683495,45.1863745,46.0450555,45.7268907,45.48232773,45.91215205,45.95571036,46.3218179,46.25945299,46.3214405,46.19364254,46.06190284,46.15876088,46.34241004,46.62107956,46.73336363
ECU,Ecuador,40.54045872,40.37243995,40.66510658,40.7619855,40.01089996,39.90168343,39.81187118,39.58865053,39.97258122,40.41244515,40.39204099,40.22500732,40.53627268,40.91137944,40.86804041,40.83240655,41.23845924,41.52148954,41.83964781,42.41330537,42.15800667,43.24103488,43.72538034,44.00807166,44.20708903,43.85073093,44.13885835,44.07628311
EGY,Egypt,45.5916323,45.57822529,45.62420131,45.87428081,45.86059776,45.87274066,45.72583182,45.67308916,45.32003286,45.35164858,45.10462858,43.29531039,43.89889585,45.38557538,46.05648908,46.37961257,45.90563713,46.19326719,45.94251045,46.13934246,46.18910598,45.86094219,46.45217616,46.86232616,47.13455602,47.359137,47.61864653,47.58942067
SLV,El Salvador,42.00236309,41.9265426,42.01955478,42.08611514,42.34758045,42.55665575,42.58187538,42.81918639,43.03434297,43.73212689,43.52129287,44.43950236,44.6995781,45.38244125,45.71813017,45.82390388,46.36441037,46.21020824,46.48220429,46.86951813,46.20574802,45.52487511,45.63259302,45.93508786,46.05431944,46.24532059,46.15301771,46.0818949
GNQ,Equatorial Guinea,42.17575768,42.27839251,42.27184884,42.11243699,42.00536266,41.89957216,41.14841656,42.16063435,42.8784935,42.74876096,43.59882022,41.29951126,41.68980477,41.88855576,41.69064419,41.75489335,41.65177909,41.80611671,42.00361804,41.83479679,41.53153295,41.70280055,41.2890396,41.64429218,41.88752013,41.95595158,42.04189299,42.18935283
ERI,Eritrea,35.99485727,36.07822594,36.32200811,36.42997452,36.47533936,36.54083207,35.8045122,35.33885555,33.56965868,33.33270279,31.68271347,30.1966101,29.96512137,30.20517614,29.91624575,29.50727137,29.58070868,29.65681668,29.41675503,29.71216662,29.36333695,30.8827904,30.39164557,30.41705566,30.42253952,30.68781145,30.77116862,30.64624645
EST,Estonia,55.71686621,55.98990038,56.08924249,55.77877062,56.18832311,56.79520416,57.1054517,57.49821899,57.74184637,58.15229112,58.83532725,62.15250036,62.64588005,63.24690814,63.24374629,63.70710996,63.57400734,63.012436,63.72388443,65.2766222,65.04779672,63.9994499,64.09899231,64.03152525,64.25630706,64.02764263,64.47362672,64.51642337
ETH,Ethiopia,34.21959178,34.50046515,34.99720005,35.24310783,35.15377689,35.10605257,35.00885868,35.48355891,35.25501295,35.24715422,34.84213036,34.61569675,34.85424164,34.70881196,34.89040027,35.13354228,35.2710009,35.40167773,35.92374045,36.22392369,36.89545739,37.99748168,37.70026217,38.96296467,39.57003174,39.00262229,38.46866882,38.69487165
FJI,Fiji,43.21612193,43.17187681,43.25314283,43.26180369,42.64148384,42.04073183,42.42316615,43.09642042,42.86297734,42.58319128,43.32695379,45.3759433,45.47828198,45.19282221,44.03436227,44.75555185,45.53207192,45.50062651,45.71209555,47.19345744,47.54669552,48.14002858,48.86271812,49.17267938,51.48131002,51.12748164,50.91623531,50.89634098
FIN,Finland,67.98693917,68.03862175,68.2406742,68.65980506,69.03126333,69.16408322,69.41089538,69.75036288,69.85001914,69.72723563,70.38571115,72.22340912,72.26822063,72.46171168,72.31292339,72.90561709,72.89003498,73.42870915,73.48702407,73.91358691,73.12601644,72.24607214,72.30851724,72.12398439,72.43211079,72.7561336,73.05563929,72.93825959
FRA,France,63.8991883,64.07872245,64.0176829,63.89402199,64.087,64.1965619,64.32005565,64.23507164,64.2485681,64.60466895,64.74382652,65.69530958,66.64258433,66.86242408,67.04832596,67.87975028,67.74341274,67.75281372,67.60152779,68.15374341,68.10591653,67.53646665,67.80623841,67.72586214,68.3441093,67.49490958,67.92529703,67.72597819
GAB,Gabon,45.33913961,45.39119583,45.76954892,46.1889753,46.39261883,46.78722492,46.84661334,46.8942673,46.78241779,46.21991917,47.96120161,43.31803428,43.2367237,42.99664022,42.96255713,42.93490849,42.86780961,43.34591313,43.20625564,43.7392855,43.37429303,43.34736273,43.11551103,42.98464492,42.92081521,42.50037637,42.99903691,42.9820683
GMB,Gambia,40.45221937,40.41761841,40.50872625,40.5265878,40.71479107,40.93002787,40.88853555,41.21922787,41.2431002,40.41214632,41.24564768,38.26031221,38.5740782,38.37474713,38.39520532,37.68725719,38.15568566,38.03215008,37.83920693,38.06469681,38.2445408,37.74768943,38.57073059,38.56799924,39.11774706,40.96554603,39.5054272,39.81561837
GEO,Georgia,44.33274343,44.41975123,44.60249243,45.43281126,45.84701782,46.25549625,46.30043258,45.74311725,46.65232069,47.72395155,48.08029065,47.68115852,50.54650097,50.63029408,51.28194373,52.54520258,52.87437649,53.91682477,54.90065056,56.60056356,56.13786513,56.273166,57.92889287,58.40695807,57.24129473,58.31085882,58.68142775,58.71530177
DEU,Germany,65.58085445,65.63945507,65.62055527,65.67281541,65.94795024,66.33682862,66.32612789,66.51250633,66.25155736,66.37830313,66.80149574,68.983969,69.38901884,69.23606635,68.93434757,69.87298317,69.80760392,69.91263843,70.28368278,71.36061862,70.79495289,69.98732659,69.86400574,69.87211106,69.68462998,69.5078949,69.73268907,69.48248991
GHA,Ghana,40.67427601,40.58116915,40.58739692,40.33968856,40.55350758,40.84008867,40.33022547,40.10429218,40.82901605,40.57083369,40.62498886,40.85891647,41.24491956,41.77591738,42.21639663,42.45757295,43.30978464,43.18028007,43.59720788,43.31880418,43.095217,43.54454807,43.89366034,44.07055595,45.00271688,45.21278314,45.14086489,45.18041227
GRC,Greece,53.94162621,54.17688133,54.64131778,54.93450631,55.31307115,55.66129023,56.01600874,56.22734855,56.34639713,56.62371684,56.52567433,57.6776387,57.65649258,57.40725725,57.47273223,57.50608222,57.10055314,56.72809324,57.72302027,58.34010771,58.36379549,57.99324177,57.96758475,58.41803426,58.70922142,59.19327398,59.67495642,59.53257995
GRD,Grenada,53.1955357,53.2463763,53.38233313,53.57951126,53.6536799,53.75690725,53.78590535,53.97940896,54.4235793,54.12551182,55.27662859,52.08772043,51.91993431,51.54351156,51.73192704,52.85555036,53.53229192,54.00727586,54.33586876,55.48720112,56.43045645,56.70319011,56.59332933,56.51075657,56.58138244,56.71952288,57.25077147,57.37450877
GTM,Guatemala,39.12534257,39.22697552,39.64225122,39.86002564,40.06273607,40.10961072,40.02620367,40.05704824,40.02751114,40.66962544,40.1702249,39.34901113,39.7713971,40.16648756,40.23699917,41.17333572,41.29344168,41.31019855,41.81091343,42.77049027,42.92404714,43.27770065,43.62074255,43.66293542,43.59906534,43.26461056,43.23105958,43.69756402
GIN,Guinea,37.00371471,37.16285416,37.24827019,37.32380599,36.71307086,36.35360577,36.50315276,36.92115575,37.49440929,37.51013119,37.01698341,34.67766721,34.56797994,35.17712587,35.17432819,35.10518372,35.01298978,35.56353482,36.21390924,37.20646494,37.70646739,37.98888084,38.94918354,38.69612575,39.17476117,39.21542315,38.54888828,38.75917972
GNB,Guinea-Bissau,32.22358385,32.14882082,31.84412074,31.53805596,32.56992794,33.61267128,33.32059103,33.20709733,33.53680943,33.79590728,34.4137004,30.94887263,30.96110052,30.6449065,30.59537193,29.75670156,29.9533007,30.52272522,30.66751872,31.12453732,31.23116112,31.50815524,32.00414689,32.04367548,32.42790299,32.03077189,32.8006293,32.89603546
GUY,Guyana,43.55515117,43.59016662,43.79692634,43.76637517,43.50872073,43.24590948,43.18817437,43.14237969,42.92738736,42.97061156,40.56608719,40.29166848,39.94333989,40.40196955,40.02592454,40.30286672,40.42436486,40.35845143,40.79164424,41.56008257,41.59002857,42.05315922,41.85403879,42.30014984,42.90751504,44.61997517,45.19822354,45.22370299
HTI,Haiti,35.84140307,35.88788153,35.77357452,35.74709504,35.84837743,35.95229596,35.41668535,34.88907157,34.73680501,34.19986782,33.9689939,34.04130312,34.46657455,34.83966278,35.11273508,35.03378469,34.92472082,35.38539899,35.78356678,35.85639992,35.65291367,36.17087397,36.30456774,36.41464148,36.15883021,35.99834635,35.60356042,35.34331628
HND,Honduras,39.7284862,39.61367433,40.31111218,40.36220053,40.25058757,40.25198263,40.19487814,39.69626858,39.50607346,39.76689602,39.39339455,39.42091433,40.26629501,40.54072192,41.18106148,40.99134577,40.52225568,40.08118327,40.4723071,40.83093096,41.12680207,40.79226307,40.72237892,41.08922669,40.73538728,40.64097281,40.51335585,40.81131892
HUN,Hungary,56.29582429,55.81106267,55.87610972,56.0784952,56.22393284,56.57465593,57.26041331,57.54620622,56.99554464,57.2255128,57.18751358,58.25705496,58.18166883,58.26266503,58.48363002,58.11843226,58.64435007,58.63909701,58.53350122,58.30754439,58.1585581,57.66710292,57.34830347,57.05333815,57.09532684,57.2558146,57.56047739,57.06484879
ISL,Iceland,59.58293741,59.48325897,60.36054741,62.1539623,62.37233697,64.11436593,64.11472187,65.43563513,65.74582251,66.14631239,66.48560975,67.74686329,69.22477011,68.54600219,68.79519582,68.96636123,68.9333037,68.10807786,68.17530306,70.18858908,69.01674257,68.02539428,68.04865662,69.03884995,68.5095322,68.16603902,68.07344939,67.61558775
IND,India,41.8808022,41.97704243,42.08713417,42.17933538,42.32784989,42.57877256,42.32679079,42.0303085,42.22927024,42.4815529,44.11881876,47.74164919,47.79897616,48.08702463,48.04574805,49.45373316,49.64043916,49.80037054,50.17260314,40.24567817,40.2486195,42.18194649,43.41776376,44.2114735,45.1275367,46.36267258,46.6543046,47.06434117
IDN,Indonesia,42.86512246,42.82232627,42.73387488,42.13238279,42.31750138,42.78959859,42.62171387,42.47696083,42.07888235,42.23644848,43.66817524,47.63494127,48.26731264,48.81006299,48.87503086,50.08941341,50.33090319,50.87926721,51.31336844,44.29048073,44.30334607,44.58019142,45.73210374,46.38305009,47.50222473,47.96655485,48.3467649,48.54543217
IRN,"Iran, Islamic Republic of",46.22231009,46.30122932,46.30987864,46.34738741,46.47116551,46.72488869,47.35115797,47.865465,48.35832672,48.96131381,49.35890126,48.46867093,49.75144624,51.0827625,49.47046825,49.29611592,49.94382756,49.99682395,50.32420342,52.02981955,52.5966385,53.94626478,53.88750483,51.8212652,51.43133382,51.00098834,50.46596174,50.56349595
