Country,ClusterLabel
Kuwait,Western Africa(12) + 68 more
Liberia,Western Africa(12) + 68 more
Myanmar,Western Africa(12) + 68 more
Mongolia,Western Africa(12) + 68 more
Mozambique,Western Africa(12) + 68 more
Mauritius,Western Africa(12) + 68 more
Mexico,Western Africa(12) + 68 more
Mauritania,Western Africa(12) + 68 more
Panama,Western Africa(12) + 68 more
Marshall Islands,Western Africa(12) + 68 more
Namibia,Western Africa(12) + 68 more
Indonesia,Western Africa(12) + 68 more
Madagascar,Western Africa(12) + 68 more
Malaysia,Western Africa(12) + 68 more
Maldives,Western Africa(12) + 68 more
Laos,Western Africa(12) + 68 more
Iran,Western Africa(12) + 68 more
Qatar,Western Africa(12) + 68 more
Saudi Arabia,Western Africa(12) + 68 more
Philippines,Western Africa(12) + 68 more
Belize,Western Africa(12) + 68 more
Cameroon,Western Africa(12) + 68 more
Cape Verde,Western Africa(12) + 68 more
Bahrain,Western Africa(12) + 68 more
Bangladesh,Western Africa(12) + 68 more
Barbados,Western Africa(12) + 68 more
Brunei Darussalam,Western Africa(12) + 68 more
Bahamas,Western Africa(12) + 68 more
Angola,Western Africa(12) + 68 more
Venezuela,Western Africa(12) + 68 more
Viet Nam,Western Africa(12) + 68 more
Yemen,Western Africa(12) + 68 more
Togo,Western Africa(12) + 68 more
Tanzania,Western Africa(12) + 68 more
Antigua and Barbuda,Western Africa(12) + 68 more
Seychelles,Western Africa(12) + 68 more
Costa Rica,Western Africa(12) + 68 more
Dominican Republic,Western Africa(12) + 68 more
Palau,Western Africa(12) + 68 more
Nigeria,Western Africa(12) + 68 more
Senegal,Western Africa(12) + 68 more
Saint Kitts and Nevis,Western Africa(12) + 68 more
Jamaica,Western Africa(12) + 68 more
Cambodia,Western Africa(12) + 68 more
Cote d'Ivoire,Western Africa(12) + 68 more
Benin,Western Africa(12) + 68 more
"Congo, Republic of the",Western Africa(12) + 68 more
Djibouti,Western Africa(12) + 68 more
Colombia,Western Africa(12) + 68 more
Gabon,Western Africa(12) + 68 more
El Salvador,Western Africa(12) + 68 more
Dominica,Western Africa(12) + 68 more
Cuba,Western Africa(12) + 68 more
Saint Vincent and the Grenadines,Western Africa(12) + 68 more
