Country,ClusterLabel
Palau,Western Africa(12) + 55 more
Iran,Western Africa(12) + 55 more
Oman,Western Africa(12) + 55 more
India,Western Africa(12) + 55 more
Cote d'Ivoire,Western Africa(12) + 55 more
"Congo, Republic of the",Western Africa(12) + 55 more
United Arab Emirates,Western Africa(12) + 55 more
Comoros,Western Africa(12) + 55 more
Seychelles,Western Africa(12) + 55 more
Indonesia,Western Africa(12) + 55 more
Bangladesh,Western Africa(12) + 55 more
Solomon Islands,Western Africa(12) + 55 more
Cape Verde,Western Africa(12) + 55 more
Benin,Western Africa(12) + 55 more
Cameroon,Western Africa(12) + 55 more
Cambodia,Western Africa(12) + 55 more
Viet Nam,Western Africa(12) + 55 more
Singapore,Western Africa(12) + 55 more
Sierra Leone,Western Africa(12) + 55 more
Senegal,Western Africa(12) + 55 more
Djibouti,Western Africa(12) + 55 more
Saudi Arabia,Western Africa(12) + 55 more
Sao Tome and Principe,Western Africa(12) + 55 more
Qatar,Western Africa(12) + 55 more
Tuvalu,Western Africa(12) + 55 more
Guinea,Western Africa(12) + 55 more
Yemen,Western Africa(12) + 55 more
Angola,Western Africa(12) + 55 more
Ghana,Western Africa(12) + 55 more
Antigua and Barbuda,Western Africa(12) + 55 more
Brunei Darussalam,Western Africa(12) + 55 more
Gambia,Western Africa(12) + 55 more
Fiji,Western Africa(12) + 55 more
Australia,Western Africa(12) + 55 more
Samoa,Western Africa(12) + 55 more
Equatorial Guinea,Western Africa(12) + 55 more
Bahrain,Western Africa(12) + 55 more
Gabon,Western Africa(12) + 55 more
Vanuatu,Western Africa(12) + 55 more
