Score,Coalition,HAC,AOSIS,FFTreaty
99356.19936348409,"['Bulgaria', 'Georgia', 'Ireland', 'Jamaica', 'Nigeria', 'Tunisia']",True,True,False
99291.93685518362,"['Greece', 'Ireland', 'Jamaica', 'Namibia', 'Tunisia', 'Uruguay']",True,True,False
99290.51309002738,"['Greece', 'Ireland', 'Jamaica', 'Niger', 'Senegal', 'Tunisia']",True,True,False
99241.2121546116,"['Burkina Faso', 'Greece', 'Ireland', 'Jamaica', 'Senegal', 'Tunisia']",True,True,False
99190.36105734415,"['Cape Verde', 'Greece', 'Norway', 'Trinidad and Tobago', 'Tunisia', 'Uruguay']",True,True,False
98965.54796564019,"['Jamaica', 'Morocco', 'New Zealand', 'Poland', 'Sweden', 'Uruguay']",True,True,False
98959.53958466923,"['Antigua and Barbuda', 'Belize', 'Greece', 'Ireland', 'Morocco', 'Uruguay']",True,True,True
98933.83074856777,"['Algeria', 'Cyprus', 'Ghana', 'Panama', 'Spain', 'Uruguay']",True,False,False
98799.47470625714,"['Bulgaria', 'Guinea', 'Norway', 'Panama', 'Tunisia', 'Uruguay']",True,False,False
98658.13475804092,"['Finland', 'Jamaica', 'Latvia', 'Nigeria', 'Tunisia', 'Uruguay']",True,True,False
98554.37245181412,"['Antigua and Barbuda', 'Greece', 'Ireland', 'Saint Vincent and the Grenadines', 'Tunisia', 'Uruguay']",True,True,False
98471.8781276432,"['Jamaica', 'Nigeria', 'Romania', 'Sweden', 'Tunisia', 'Uruguay']",True,True,False
98367.38931818388,"['Montenegro', 'Morocco', 'Nigeria', 'Spain', 'Trinidad and Tobago', 'Uruguay']",True,True,False
98302.65484212805,"['Ghana', 'Greece', 'Ireland', 'Suriname', 'Tunisia', 'Uruguay']",True,True,False
98277.83715969627,"['Greece', 'Ireland', 'Morocco', 'Saint Lucia', 'Seychelles', 'Uruguay']",True,True,False
98069.33204256734,"['Colombia', 'Greece', 'Mauritius', 'Morocco', 'Norway', 'Peru']",True,True,False
98045.57828427435,"['Ireland', 'Panama', 'Switzerland', 'Tunisia', 'United Arab Emirates', 'Uruguay']",True,False,False
98010.26226665109,"['Greece', 'Ireland', 'Jamaica', 'Samoa', 'Tunisia', 'Uruguay']",True,True,True
97958.6396919254,"['Jamaica', 'Kenya', 'Luxembourg', 'Netherlands', 'Tunisia', 'Uruguay']",True,True,False
97908.16781427784,"['Greece', 'Ireland', 'Jamaica', 'Morocco', 'Palau', 'Uruguay']",True,True,True
97902.5836885634,"['Bahamas', 'Liberia', 'Netherlands', 'Switzerland', 'Tunisia', 'Uruguay']",True,True,False
97899.30540250835,"['Colombia', 'Ecuador', 'Greece', 'Ireland', 'Mauritius', 'Tunisia']",True,True,False
97881.0191199854,"['Estonia', 'Finland', 'Jamaica', 'Malaysia', 'Tunisia', 'Uruguay']",True,True,False
97706.22297830606,"['Greece', 'Ireland', 'Jamaica', 'Kuwait', 'Tunisia', 'Uruguay']",True,True,False
97551.42567750177,"['Albania', 'Liberia', 'Spain', 'Syria', 'Trinidad and Tobago', 'Uruguay']",True,True,False
97435.06853903172,"['Ghana', 'Greece', 'Honduras', 'Norway', 'Tunisia', 'Uruguay']",True,False,False
97407.5852708603,"['Greece', 'Ireland', 'Jamaica', 'Swaziland', 'Togo', 'Tunisia']",True,True,False
97320.25905653436,"['Greece', 'Guinea-Bissau', 'Ireland', 'Jamaica', 'Togo', 'Tunisia']",True,True,False
97273.90541451209,"['Greece', 'Ireland', 'Jamaica', 'Tanzania', 'Tunisia', 'Uruguay']",True,True,False
97176.59897269424,"['Chile', 'New Zealand', 'Norway', 'Panama', 'Poland', 'Tunisia']",True,False,False
97155.21390611031,"['Greece', 'Ireland', 'Maldives', 'Morocco', 'Saint Kitts and Nevis', 'Uruguay']",True,True,False
96984.34146116693,"['Azerbaijan', 'Bahamas', 'Greece', 'Morocco', 'Nigeria', 'Spain']",True,True,False
96955.47532681108,"['Greece', 'Ireland', 'Paraguay', 'Sri Lanka', 'Tunisia', 'Uruguay']",True,False,False
96872.13516355875,"['Greece', 'Ireland', 'Morocco', 'Saint Kitts and Nevis', 'Singapore', 'Uruguay']",True,True,False
96712.12643987138,"['Fiji', 'Greece', 'Ireland', 'Jamaica', 'Tunisia', 'Uruguay']",True,True,True
96688.50029623536,"['Greece', 'Jamaica', 'Mauritius', 'Monaco', 'Spain', 'Uruguay']",True,True,False
96637.35358657848,"['Greece', 'Ireland', 'Mozambique', 'Saint Kitts and Nevis', 'Tunisia', 'Uruguay']",True,True,False
96541.86036634824,"['Greece', 'Guinea', 'Ireland', 'Jamaica', 'Malawi', 'Tunisia']",True,True,False
96467.61304277522,"['Greece', 'Ireland', 'Jamaica', 'Tunisia', 'Uruguay', 'Viet Nam']",True,True,False
96420.06475787133,"['El Salvador', 'Greece', 'Ireland', 'Mauritania', 'Tunisia', 'Uruguay']",True,False,False
96344.91515258761,"['Bolivia', 'Greece', 'Ireland', 'Jamaica', 'Togo', 'Tunisia']",True,True,False
96303.1855319997,"['Djibouti', 'Egypt', 'Greece', 'Ireland', 'Jamaica', 'Sudan']",True,True,False
96245.29560516056,"['Ireland', 'Jamaica', 'Luxembourg', 'Mali', 'Togo', 'Tunisia']",True,True,False
96056.34486311668,"['Cambodia', 'Greece', 'Ireland', 'Jamaica', 'Tunisia', 'Uruguay']",True,True,False
95935.28783973676,"['Greece', 'Ireland', 'Jamaica', 'Rwanda', 'Togo', 'Tunisia']",True,True,False
95932.05931020845,"['Ethiopia', 'Greece', 'Ireland', 'Jamaica', 'Togo', 'Tunisia']",True,True,False
95931.7849057152,"['Chad', 'Greece', 'Ireland', 'Jamaica', 'Senegal', 'Tunisia']",True,True,False
95875.178726483,"['Finland', 'Jamaica', 'Lithuania', 'Morocco', 'Nigeria', 'Uruguay']",True,True,False
95725.56078199795,"['Greece', 'Guyana', 'Ireland', 'Seychelles', 'Tunisia', 'Uruguay']",True,True,False
95704.29781804391,"['Ireland', 'Jamaica', 'Mongolia', 'Switzerland', 'Tunisia', 'Uruguay']",True,True,False
95668.5527474503,"['Cameroon', 'Congo, Democratic Republic of', 'Greece', 'Ireland', 'Jamaica', 'Tunisia']",True,True,False
95593.2755425626,"['Greece', 'Ireland', 'Jamaica', 'Kiribati', 'Morocco', 'Uruguay']",True,True,True
95515.19433211914,"['Afghanistan', 'Greece', 'Norway', 'Sri Lanka', 'Tunisia', 'Uruguay']",True,False,False
95425.04493801366,"['Barbados', 'Greece', 'Morocco', 'Norway', 'Uruguay', 'Vanuatu']",True,True,True
95316.04542445914,"['Comoros', 'Greece', 'Ireland', 'Jamaica', 'Tunisia', 'Uruguay']",True,True,False
95303.06893272384,"['Egypt', 'Greece', 'Jamaica', 'Spain', 'Uruguay', 'Yemen']",True,True,False
95073.77262726889,"['Greece', 'Jamaica', 'Jordan', 'Lebanon', 'Spain', 'Uruguay']",True,True,False
95069.49987069366,"['Cyprus', 'Iceland', 'Jamaica', 'Mauritania', 'Tunisia', 'Uruguay']",True,True,False
94738.98194575548,"['Greece', 'Ireland', 'Jamaica', 'Lesotho', 'Togo', 'Tunisia']",True,True,False
94479.88418501783,"['Antigua and Barbuda', 'Dominica', 'Greece', 'Ireland', 'Tunisia', 'Uruguay']",True,True,False
94428.61924846815,"['Cuba', 'Greece', 'Norway', 'Thailand', 'Tunisia', 'Uruguay']",True,True,False
94424.13819986157,"['Costa Rica', 'Greece', 'Norway', 'Sri Lanka', 'Tunisia', 'Uruguay']",True,False,False
94301.96848144804,"['Eritrea', 'Greece', 'Ireland', 'Jamaica', 'Kenya', 'Tunisia']",True,True,False
94113.68907720757,"['Greece', 'Iraq', 'Ireland', 'Jamaica', 'Jordan', 'Tunisia']",True,True,False
94046.93042911433,"['Greece', 'Ireland', 'Jamaica', 'Togo', 'Tunisia', 'Zambia']",True,True,False
93858.57447117688,"['Cameroon', 'Central African Republic', 'Greece', 'Ireland', 'Jamaica', 'Tunisia']",True,True,False
93580.70097234927,"['Jamaica', 'Morocco', 'Nigeria', 'Serbia', 'Spain', 'Uruguay']",True,True,False
93529.57680688742,"['Hungary', 'Kenya', 'Moldova', 'Morocco', 'Norway', 'Uruguay']",True,False,False
93506.56112204822,"['Greece', 'Ireland', 'Jamaica', 'Madagascar', 'Swaziland', 'Tunisia']",True,True,False
93194.55619681059,"['Bahamas', 'Ireland', 'Marshall Islands', 'Switzerland', 'Tunisia', 'Uruguay']",True,True,True
92875.1508490113,"['Greece', 'Ireland', 'Jamaica', 'Togo', 'Tunisia', 'Uganda']",True,True,False
92849.1125220855,"['Burundi', 'Greece', 'Ireland', 'Jamaica', 'Togo', 'Tunisia']",True,True,False
92708.6290320958,"['Cuba', 'Greece', ""Korea, Democratic People's Republic"", 'Norway', 'Pakistan', 'Uruguay']",True,True,False
