Coalition,Size,RecomputedScore,ReferenceScore,ScoreError,RelError
"['Eritrea', 'Swaziland']",2,4044.8945858361135,4044.8945858361135,0.0,0.0
"['Suriname', 'Uganda']",2,6689.2749156057025,6689.274915605703,-9.094947017729282e-13,1.3596312204946578e-16
"['Eritrea', 'Libya']",2,6617.975613023586,6617.975613023586,0.0,0.0
"['Cape Verde', 'Marshall Islands']",2,3849.3008330378407,3849.3008330378407,0.0,0.0
"['Cambodia', 'Costa Rica']",2,8397.788178896815,8397.788178896815,0.0,0.0
"['Tajikistan', 'Uganda']",2,6030.641848381337,6030.641848381337,0.0,0.0
"['Afghanistan', 'Chad']",2,4095.0593545006336,4095.0593545006336,0.0,0.0
"['Algeria', 'Equatorial Guinea']",2,7342.76860591426,7342.76860591426,0.0,0.0
"['Maldives', 'Morocco']",2,9817.360202345266,9817.360202345266,0.0,0.0
"['Belize', 'Macedonia']",2,6004.098440727523,6004.098440727523,0.0,0.0
"['Jordan', 'Malawi']",2,9698.284817767191,9698.284817767191,0.0,0.0
"['Algeria', 'Grenada']",2,6855.958903780169,6855.958903780169,0.0,0.0
"['Georgia', 'Mozambique']",2,8582.332838165568,8582.332838165568,0.0,0.0
"['Guyana', 'Solomon Islands']",2,7369.361595539096,7369.361595539096,0.0,0.0
"['Burundi', 'Cambodia']",2,7442.230252392733,7442.230252392733,0.0,0.0
"['Angola', 'Venezuela']",2,6612.544301598487,6612.544301598487,0.0,0.0
"['Lebanon', 'Mali']",2,6580.378378378378,6580.378378378378,0.0,0.0
"['Armenia', 'Jamaica']",2,6873.306931756918,6873.306931756918,0.0,0.0
"['Kiribati', 'Liberia']",2,4526.506885905188,4526.506885905188,0.0,0.0
"['Bulgaria', 'Uzbekistan']",2,4218.475687298008,4218.475687298008,0.0,0.0
"['Afghanistan', 'Lesotho']",2,4261.159827881912,4261.159827881912,0.0,0.0
"['Congo, Democratic Republic of', 'Eritrea']",2,3529.146767990384,3529.146767990384,0.0,0.0
"['Cyprus', 'Sierra Leone']",2,9524.407273203693,9524.407273203691,1.8189894035458565e-12,1.9098190064419715e-16
"['Chile', 'Suriname']",2,8606.369769175248,8606.369769175248,0.0,0.0
"['Latvia', 'Namibia']",2,8753.621481817781,8753.621481817781,0.0,0.0
"['Chad', 'Spain']",2,6578.671472494879,6578.671472494879,0.0,0.0
"['Ecuador', 'Zimbabwe']",2,5302.496833356698,5302.496833356698,0.0,0.0
"['Qatar', 'Venezuela']",2,9502.61236482356,9502.61236482356,0.0,0.0
"['Bolivia', 'Myanmar']",2,7687.743533717262,7687.743533717262,0.0,0.0
"['Congo, Democratic Republic of', 'Gabon']",2,10965.77319960169,10965.77319960169,0.0,0.0
"['Grenada', 'Libya']",2,5266.506557020179,5266.506557020179,0.0,0.0
"['Andorra', 'Fiji']",2,4392.663959209333,4392.663959209333,0.0,0.0
"['Botswana', 'Uzbekistan']",2,1878.0287729425231,1878.0287729425231,0.0,0.0
"['Croatia', 'Jordan']",2,9693.375842151063,9693.375842151065,-1.8189894035458565e-12,1.8765282943389955e-16
"['Ireland', 'Romania']",2,13235.411593857729,13235.411593857729,0.0,0.0
"['Panama', 'Swaziland']",2,8004.917938367634,8004.917938367634,0.0,0.0
"['Belize', 'Tuvalu']",2,7400.257396899969,7400.257396899969,0.0,0.0
"['Albania', 'Rwanda']",2,7772.2461682972,7772.2461682972,0.0,0.0
"['Albania', 'Sao Tome and Principe']",2,8269.560297863476,8269.560297863476,0.0,0.0
"['Peru', 'Ukraine']",2,6769.1926849229285,6769.1926849229285,0.0,0.0
"['Chad', 'Cuba']",2,7194.269636109815,7194.269636109815,0.0,0.0
"['Georgia', 'Syria']",2,8070.992520361817,8070.992520361817,0.0,0.0
