Score,Coalition
99445.78734243609,"['Djibouti', 'Egypt', 'Spain', 'Greece', 'Uruguay', 'Jamaica']"
99427.42716262005,"['New Zealand', 'Sweden', 'Bulgaria', 'Uruguay', 'Tunisia', 'Panama']"
99418.34321086181,"['Belgium', 'Switzerland', 'Kenya', 'Tunisia', 'Uruguay', 'Panama']"
99370.28405460148,"['Finland', 'Bulgaria', 'Tunisia', 'Nigeria', 'Uruguay', 'Panama']"
99356.19936348409,"['Georgia', 'Ireland', 'Bulgaria', 'Tunisia', 'Nigeria', 'Jamaica']"
99291.93685518362,"['Namibia', 'Jamaica', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
99290.51309002738,"['Niger', 'Senegal', 'Tunisia', 'Ireland', 'Greece', 'Jamaica']"
99241.2121546116,"['Burkina Faso', 'Senegal', 'Tunisia', 'Ireland', 'Greece', 'Jamaica']"
99190.36105734415,"['Cape Verde', 'Trinidad and Tobago', 'Uruguay', 'Norway', 'Greece', 'Tunisia']"
98965.54796564019,"['Poland', 'Sweden', 'New Zealand', 'Morocco', 'Uruguay', 'Jamaica']"
98959.53958466923,"['Belize', 'Antigua and Barbuda', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
98933.83074856777,"['Algeria', 'Cyprus', 'Spain', 'Ghana', 'Uruguay', 'Panama']"
98799.47470625714,"['Guinea', 'Uruguay', 'Norway', 'Bulgaria', 'Tunisia', 'Panama']"
98658.13475804092,"['Latvia', 'Finland', 'Tunisia', 'Nigeria', 'Jamaica', 'Uruguay']"
98554.37245181412,"['Saint Vincent and the Grenadines', 'Antigua and Barbuda', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
98471.8781276432,"['Romania', 'Sweden', 'Tunisia', 'Nigeria', 'Uruguay', 'Jamaica']"
98367.38931818388,"['Montenegro', 'Spain', 'Morocco', 'Nigeria', 'Trinidad and Tobago', 'Uruguay']"
98302.65484212805,"['Suriname', 'Ghana', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
98277.83715969627,"['Seychelles', 'Saint Lucia', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
98069.33204256734,"['Peru', 'Colombia', 'Mauritius', 'Norway', 'Greece', 'Morocco']"
98045.57828427435,"['United Arab Emirates', 'Ireland', 'Switzerland', 'Tunisia', 'Uruguay', 'Panama']"
98010.26226665109,"['Samoa', 'Jamaica', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
97958.6396919254,"['Luxembourg', 'Netherlands', 'Kenya', 'Tunisia', 'Jamaica', 'Uruguay']"
97908.16781427784,"['Palau', 'Jamaica', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
97902.5836885634,"['Switzerland', 'Netherlands', 'Liberia', 'Tunisia', 'Bahamas', 'Uruguay']"
97902.5836885634,"['Netherlands', 'Switzerland', 'Liberia', 'Tunisia', 'Bahamas', 'Uruguay']"
97899.30540250835,"['Ecuador', 'Colombia', 'Mauritius', 'Ireland', 'Greece', 'Tunisia']"
97899.30540250834,"['Colombia', 'Ecuador', 'Mauritius', 'Ireland', 'Greece', 'Tunisia']"
97881.0191199854,"['Malaysia', 'Estonia', 'Finland', 'Tunisia', 'Jamaica', 'Uruguay']"
97706.22297830606,"['Kuwait', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
97551.42567750177,"['Syria', 'Albania', 'Spain', 'Liberia', 'Uruguay', 'Trinidad and Tobago']"
97435.06853903172,"['Honduras', 'Ghana', 'Uruguay', 'Norway', 'Greece', 'Tunisia']"
97407.5852708603,"['Swaziland', 'Togo', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
97320.25905653436,"['Guinea-Bissau', 'Togo', 'Ireland', 'Greece', 'Tunisia', 'Jamaica']"
97273.90541451209,"['Tanzania', 'Jamaica', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
97176.59897269424,"['Chile', 'New Zealand', 'Norway', 'Poland', 'Tunisia', 'Panama']"
97155.21390611031,"['Maldives', 'Saint Kitts and Nevis', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
96984.34146116693,"['Azerbaijan', 'Greece', 'Spain', 'Morocco', 'Nigeria', 'Bahamas']"
96955.47532681108,"['Paraguay', 'Sri Lanka', 'Uruguay', 'Tunisia', 'Ireland', 'Greece']"
96872.13516355875,"['Singapore', 'Saint Kitts and Nevis', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
96712.12643987138,"['Fiji', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
96688.50029623536,"['Monaco', 'Spain', 'Greece', 'Mauritius', 'Jamaica', 'Uruguay']"
96637.35358657848,"['Mozambique', 'Saint Kitts and Nevis', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
96541.86036634824,"['Malawi', 'Guinea', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
96467.61304277522,"['Viet Nam', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
96420.06475787133,"['El Salvador', 'Mauritania', 'Tunisia', 'Ireland', 'Greece', 'Uruguay']"
96344.91515258761,"['Bolivia', 'Togo', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
96303.1855319997,"['Sudan', 'Djibouti', 'Egypt', 'Ireland', 'Greece', 'Jamaica']"
96245.29560516056,"['Togo', 'Mali', 'Ireland', 'Luxembourg', 'Jamaica', 'Tunisia']"
96056.34486311668,"['Cambodia', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
95935.28783973676,"['Rwanda', 'Togo', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
95932.05931020845,"['Ethiopia', 'Togo', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
95931.7849057152,"['Chad', 'Senegal', 'Tunisia', 'Ireland', 'Greece', 'Jamaica']"
95875.178726483,"['Lithuania', 'Finland', 'Morocco', 'Nigeria', 'Jamaica', 'Uruguay']"
95725.56078199795,"['Guyana', 'Seychelles', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
95704.29781804391,"['Mongolia', 'Ireland', 'Switzerland', 'Tunisia', 'Jamaica', 'Uruguay']"
95668.5527474503,"['Congo, Democratic Republic of', 'Cameroon', 'Ireland', 'Greece', 'Tunisia', 'Jamaica']"
95593.2755425626,"['Kiribati', 'Jamaica', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
95515.19433211914,"['Afghanistan', 'Sri Lanka', 'Uruguay', 'Norway', 'Greece', 'Tunisia']"
95425.04493801366,"['Vanuatu', 'Barbados', 'Norway', 'Greece', 'Morocco', 'Uruguay']"
95316.04542445914,"['Comoros', 'Jamaica', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
95303.06893272384,"['Yemen', 'Egypt', 'Spain', 'Greece', 'Uruguay', 'Jamaica']"
95073.77262726889,"['Lebanon', 'Jordan', 'Greece', 'Spain', 'Uruguay', 'Jamaica']"
95069.49987069366,"['Iceland', 'Mauritania', 'Tunisia', 'Cyprus', 'Jamaica', 'Uruguay']"
94738.98194575548,"['Lesotho', 'Togo', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
94479.88418501783,"['Dominica', 'Antigua and Barbuda', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
94428.61924846815,"['Thailand', 'Cuba', 'Uruguay', 'Norway', 'Greece', 'Tunisia']"
94424.13819986157,"['Costa Rica', 'Sri Lanka', 'Uruguay', 'Norway', 'Greece', 'Tunisia']"
94301.96848144804,"['Eritrea', 'Kenya', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
94113.68907720757,"['Iraq', 'Jordan', 'Tunisia', 'Ireland', 'Greece', 'Jamaica']"
94046.93042911433,"['Zambia', 'Togo', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
93858.57447117688,"['Central African Republic', 'Cameroon', 'Ireland', 'Greece', 'Tunisia', 'Jamaica']"
93580.70097234927,"['Serbia', 'Spain', 'Morocco', 'Nigeria', 'Jamaica', 'Uruguay']"
93529.57680688742,"['Moldova', 'Hungary', 'Norway', 'Morocco', 'Kenya', 'Uruguay']"
93506.56112204822,"['Madagascar', 'Swaziland', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
93194.55619681059,"['Marshall Islands', 'Ireland', 'Switzerland', 'Tunisia', 'Bahamas', 'Uruguay']"
92875.1508490113,"['Uganda', 'Togo', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
92849.1125220855,"['Burundi', 'Togo', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
92708.6290320958,"[""Korea, Democratic People's Republic"", 'Pakistan', 'Cuba', 'Uruguay', 'Norway', 'Greece']"
92559.69276209758,"['Sao Tome and Principe', 'Saint Vincent and the Grenadines', 'Tunisia', 'Ireland', 'Greece', 'Uruguay']"
92558.43608532407,"['Libya', ""Cote d'Ivoire"", 'Albania', 'Spain', 'Uruguay', 'Panama']"
92524.73329412813,"['Gabon', 'Congo, Democratic Republic of', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
92522.56469839068,"['Nepal', 'Pakistan', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
92320.2505921724,"['Austria', 'Sweden', 'New Zealand', 'Tunisia', 'Uruguay', 'Panama']"
92226.65551192919,"['Ukraine', 'Romania', 'Finland', 'Tunisia', 'Nigeria', 'Uruguay']"
91871.34701710308,"['Angola', 'Trinidad and Tobago', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
91640.18407958413,"['Brunei Darussalam', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
91595.9896454723,"['Gambia', 'Guinea-Bissau', 'Ireland', 'Greece', 'Tunisia', 'Jamaica']"
91509.02127679375,"['Kazakhstan', 'Greece', 'Spain', 'Morocco', 'Nigeria', 'Uruguay']"
91318.46743509248,"['Solomon Islands', 'Jamaica', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
91025.89777426436,"['Laos', 'Malawi', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
90980.2832633326,"['Grenada', 'Antigua and Barbuda', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
90586.6228356556,"['Israel', 'Malta', 'Spain', 'Nigeria', 'Uruguay', 'Trinidad and Tobago']"
90495.75297485915,"['Slovakia', 'Norway', 'Moldova', 'Mauritius', 'Tunisia', 'Uruguay']"
90431.02417683693,"['Somalia', 'Djibouti', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
90171.13751173967,"['Myanmar', 'Uruguay', 'Norway', 'Bulgaria', 'Tunisia', 'Panama']"
89899.3505879635,"['Botswana', 'Mozambique', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
89873.4415438459,"['Belarus', 'Hungary', 'Norway', 'Tunisia', 'Senegal', 'Uruguay']"
89554.24709411278,"['Czech Republic', 'Finland', 'Moldova', 'Pakistan', 'Tunisia', 'Uruguay']"
89218.394751575,"['Armenia', 'Latvia', 'Sweden', 'Tunisia', 'Nigeria', 'Jamaica']"
88447.09328852175,"['Zimbabwe', 'Tanzania', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
88291.90253776827,"['Bhutan', 'Pakistan', 'Cuba', 'Uruguay', 'Norway', 'Bulgaria']"
88227.09478342469,"['Haiti', 'Togo', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
87912.60091270534,"['Tuvalu', 'Saint Kitts and Nevis', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
87149.7859694633,"['Equatorial Guinea', 'Saint Vincent and the Grenadines', 'Tunisia', 'Ireland', 'Greece', 'Uruguay']"
87049.85068242071,"['Kyrgyzstan', 'Pakistan', 'Cuba', 'Uruguay', 'Norway', 'Bulgaria']"
85045.69546009715,"['San Marino', 'Ireland', 'Greece', 'Morocco', 'Kenya', 'Jamaica']"
84790.0050851324,"['Tajikistan', 'Mongolia', 'Ireland', 'Greece', 'Tunisia', 'Jamaica']"
84648.31595208317,"['Bosnia and Herzegovina', 'Moldova', 'Portugal', 'Tunisia', ""Cote d'Ivoire"", 'Jamaica']"
84596.96376028788,"['Turkmenistan', 'Mongolia', 'Ireland', 'Greece', 'Tunisia', 'Jamaica']"
84417.24874079923,"['Andorra', 'Georgia', 'Ireland', 'Greece', 'Tunisia', 'Nigeria']"
84000.12869707629,"['Macedonia', 'Denmark', 'Moldova', 'Kenya', 'Tunisia', 'Jamaica']"
82371.60599774151,"['Nauru', 'Jamaica', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
81681.85135638926,"['Timor-Leste', 'Bangladesh', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
80659.015067197,"['South Sudan', 'Kenya', 'Ireland', 'Greece', 'Tunisia', 'Jamaica']"
77564.50500394746,"['Liechtenstein', 'Denmark', 'Monaco', 'Mauritania', 'Jamaica', 'Uruguay']"
75258.6565817043,"['Micronesia', 'Rwanda', 'Jamaica', 'Ireland', 'Greece', 'Tunisia']"
74857.43944001972,"['Uzbekistan', 'Kazakhstan', 'Greece', 'Spain', 'Tunisia', 'Nigeria']"
